time,rr
1713890070075943000,17726
1713890070637250400,14565
1713890071198547630,6088
1713890071759865204,2370
1713890072321157343,968
1713890072882469834,283
1713890073443756890,140
1713890074005064290,59
1713890074566346259,-73
1713890075127648576,-30
1713890075688935632,-114
1713890076250222688,23
1713890076811509744,16
1713890077372796800,-38
1713890077934083856,-14
1713890078495370912,-135
1713890079056663051,-54
1713890079617945020,-88
1713890080179232080,-259
1713890080740508962,4
1713890081301790931,149
1713890081863062730,-61
1713890082424349786,-59
1713890082985606320,16
1713890083546893380,-171
1713890084108170262,204
1713890084669436974,-40
1713890085230693512,19
1713890085791980568,33
1713890086353237106,-109
1713890086914493644,-192
1713890087475770526,-9
1713890088037021977,54
1713890088598293776,-42
1713890089159550314,-159
1713890089720806852,-26
1713890090282058303,-61
1713890090843309754,69
1713890091404561205,16
1713890091965812656,-40
1713890092527064107,-11
1713890093088315558,-66
1713890093649567013,-233
1713890094210818464,-7
1713890094772069915,-66
1713890095333311196,11
1713890095894567734,-42
1713890096455824272,-107
1713890097017050292,-7
1713890097578306830,-130
1713890098139548107,-4
1713890098700789388,104
1713890099262020491,7
1713890099823241424,-42
1713890100384492879,-64
1713890100945723986,-26
1713890101506950006,-109
1713890102068186196,21
1713890102629432564,140
1713890103190658584,28
1713890103751879517,-99
1713890104313110624,-42
1713890104874336644,-38
1713890105435562664,-152
1713890105996793767,23
1713890106558014700,-16
1713890107119240724,19
1713890107680466744,-2
1713890108241708021,464
1713890108802928954,-47
1713890109364175322,-9
1713890109925401338,326
1713890110486627362,-28
1713890111047873726,45
1713890111609094659,33
1713890112170335940,-21
1713890112731561960,-40
1713890113292787980,-64
1713890113854014000,4
1713890114415240020,-28
1713890114976466040,57
1713890115537671712,0
1713890116098892645,-9
1713890116660113578,-99
1713890117221339602,69
1713890117782585966,54
1713890118343806899,-159
1713890118905027832,0
1713890119466248765,-104
1713890120027469698,-21
1713890120588695722,-80
1713890121149911568,330
1713890121711132501,649
1713890122272353434,709
1713890122833574367,-192
1713890123394795300,-195
1713890123956016237,14
1713890124517216826,-180
1713890125078442846,-49
1713890125639648518,-23
1713890126200869451,-71
1713890126762090384,-88
1713890127323311321,-57
1713890127884511910,-49
1713890128445737930,-40
1713890129006943602,-19
1713890129568164535,-9
1713890130129354950,-78
1713890130690575887,-40
1713890131251796820,35
1713890131812987235,-76
1713890132374197998,-28
1713890132935398583,38
1713890133496619520,-30
1713890134057815022,116
1713890134619010524,-95
1713890135180221283,204
1713890135741432046,-33
1713890136302632631,69
1713890136863823046,-149
1713890137425018552,-19
1713890137986214054,-178
1713890138547424813,23
1713890139108615228,-4
1713890139669805643,59
1713890140230996058,-176
1713890140792186477,-64
1713890141353376892,-30
1713890141914567307,-21
1713890142475757722,92
1713890143036948137,-126
1713890143598169074,-92
1713890144159359489,-30
1713890144720549904,209
1713890145281740319,7
1713890145842920564,-66
1713890146404116066,80
1713890146965311568,47
1713890147526501983,57
1713890148087692398,-42
1713890148648882813,-52
1713890149210083402,-4
1713890149771263643,11
1713890150332454058,99
1713890150893644477,47
1713890151454814548,-69
1713890152015994789,-261
1713890152577185204,14
1713890153138370536,-28
1713890153699566038,-164
1713890154260756453,-66
1713890154821926524,54
1713890155383106765,-21
1713890155944287010,-61
1713890156505457077,140
1713890157066647492,-45
1713890157627837911,19
1713890158189007982,121
1713890158750203484,-166
1713890159311378638,14
1713890159872569053,38
1713890160433759472,-33
1713890160994949887,192
1713890161556119958,-88
1713890162117300199,23
1713890162678490614,14
1713890163239681029,-35
1713890163800871444,0
1713890164362061863,-104
1713890164923231934,-7
1713890165484412175,7
1713890166045602590,238
1713890166606793005,57
1713890167167983420,-64
1713890167729173839,11
1713890168290343910,54
1713890168851524151,-61
1713890169412734914,-26
1713890169973899898,26
1713890170535064878,26
1713890171096260384,285
1713890171657445712,-28
1713890172218620870,183
1713890172779796024,-11
1713890173340981356,-21
1713890173902176858,126
1713890174463341842,40
1713890175024547516,-33
1713890175585687067,42
1713890176146867312,-21
1713890176708037379,92
1713890177269227798,49
1713890177830387695,-66
1713890178391557766,73
1713890178952738007,-76
1713890179513897904,-2
1713890180075057801,-11
1713890180636248220,135
1713890181197413204,59
1713890181758578188,0
1713890182319758429,30
1713890182880918326,21
1713890183442078223,59
1713890184003268642,2
1713890184564428539,-97
1713890185125588436,19
1713890185686763594,-21
1713890186247938748,-30
1713890186809098645,88
1713890187370258542,-7
1713890187931418443,54
1713890188492588514,195
1713890189053753498,-14
1713890189614928652,49
1713890190176088549,-76
1713890190737248450,40
1713890191298382916,11
1713890191859547900,-7
1713890192420712884,49
1713890192981877868,35
1713890193543093712,971
1713890194104177314,-138
1713890194665337215,104
1713890195226497112,9
1713890195787641752,42
1713890196348786388,61
1713890196909946285,30
1713890197471106182,-109
1713890198032266083,-73
1713890198593405636,2
1713890199154570620,52
1713890199715715256,21
1713890200276870070,-85
1713890200838035054,49
1713890201399169520,21
1713890201960324330,4
1713890202521484227,42
1713890203082613606,92
1713890203643773503,64
1713890204204933404,-78
1713890204766062783,7
1713890205327202336,-21
1713890205888352059,140
1713890206449481438,88
1713890207010641335,4
1713890207571770714,88
1713890208132930615,7
1713890208694070168,718
1713890209255219891,-19
1713890209816369618,-138
1713890210377509167,49
1713890210938669068,45
1713890211499798447,7
1713890212060958344,38
1713890212622087723,-30
1713890213183247620,11
1713890213744376999,114
1713890214305536900,28
1713890214866666279,-16
1713890215427805832,-16
1713890215988940298,0
1713890216550084934,-66
1713890217111214313,42
1713890217672343692,157
1713890218233478162,64
1713890218794602454,-38
1713890219355747094,-35
1713890219916891730,14
1713890220478021109,138
1713890221039150488,57
1713890221600310389,2
1713890222161439768,59
1713890222722553890,-19
1713890223283688356,-71
1713890223844797387,45
1713890224405926766,140
1713890224967061236,57
1713890225528195702,-7
1713890226089330168,73
1713890226650444286,21
1713890227211573665,-19
1713890227772703044,45
1713890228333832427,-30
1713890228894961806,76
1713890229456091185,71
1713890230017220564,-23
1713890230578349943,9
1713890231139448804,-9
1713890231700578187,61
1713890232261707566,35
1713890232822836945,38
1713890233383956154,-52
1713890233945070273,197
1713890234506194564,-242
1713890235067323947,52
1713890235628453326,0
1713890236189552187,4
1713890236750681566,7
1713890237311810945,59
1713890237872940328,7
1713890238434069707,90
1713890238995178742,-35
1713890239556297947,-54
1713890240117427326,114
1713890240678556705,990
1713890241239686088,-21
1713890241800784949,199
1713890242361914328,80
1713890242923043707,-59
1713890243484162916,-85
1713890244045271947,-35
1713890244606401326,-33
1713890245167530709,235
